cluster,sdg_score,spillover_score,regional_score,population,progress
0,0.604763814428638,0.8274704077630259,0.7047182333775792,0.009480745518481173,0.7688833368398904
1,0.026534925855285607,0.9696600094208003,0.0,0.0,1.0
2,1.0,0.0,1.0,0.0039025924206169092,0.2856065642751945
3,0.5895141204778591,0.9653973661162842,0.6588632798358875,1.0,0.8252430044182619
4,0.0,1.0,0.2906749763981855,0.01642718679724294,0.0
