k,WCSS (Inertia),Silhouette Score
2,470.2158594875916,0.33090773695360576
3,345.3765277209695,0.3772988967806388
4,220.9407041334077,0.40314263827125724
5,169.6927621233608,0.405511030819594
6,150.81046638006472,0.33845110513715965
7,133.12029091086623,0.3406695550344507
8,123.32400525327884,0.2736831946093741
9,113.67255722908425,0.26203955543491564
10,105.18848298070495,0.25232753138969716
