index,sdg_score,spillover_score,regional_score,population,progress
sdg_score,1.0,-0.5710188744090292,0.8189243508216438,0.016702295076486497,-0.16223369448242214
spillover_score,-0.5710188744090292,1.0,-0.5575443488072254,0.11038529614190663,0.31897098908251215
regional_score,0.8189243508216438,-0.5575443488072254,1.0,0.04581018217833652,-0.3374428325455819
population,0.016702295076486497,0.11038529614190663,0.04581018217833652,1.0,0.01998308584649111
progress,-0.16223369448242214,0.31897098908251215,-0.3374428325455819,0.01998308584649111,1.0
