run_id,timestamp,model_name,train_limit,test_limit,epochs,threshold,unfrozen_layers,seed,micro_f1,macro_f1,average_predicted_labels,run_dir
20260506_232419,20260506_232419,sentence-transformers/all-MiniLM-L6-v2,2000,300,3,0.3,2,43,0.663356504468719,0.6459455182608509,1.7266666666666666,/home/manh/study-BHam/AI4GC-2/artifacts/bert_train2000_seed43/runs/20260506_232419
20260506_234909,20260506_234909,sentence-transformers/all-MiniLM-L6-v2,2000,300,3,0.3,2,43,0.663356504468719,0.6459455182608509,1.7266666666666666,/home/manh/study-BHam/AI4GC-2/artifacts/bert_train2000_seed43/runs/20260506_234909
20260507_000847,20260507_000847,sentence-transformers/all-MiniLM-L6-v2,2000,1470,3,0.3,2,43,0.6768947529917152,0.6754176602598099,1.6423841059602649,/home/manh/study-BHam/AI4GC-2/artifacts/bert_train2000_seed43/runs/20260507_000847
