model_type,train_size,seed,artifact_id,artifact_dir,micro_f1,macro_f1,weighted_f1,subset_accuracy,training_time_seconds
bert,1000,42,bert_train1000_seed42,artifacts/bert_train1000_seed42,0.6694915254237288,0.6652702141825741,0.6686876394413765,0.6556291390728477,11.903661678999924
bert,1000,43,bert_train1000_seed43,artifacts/bert_train1000_seed43,0.6514633219308248,0.649835219738109,0.6504722892127444,0.6821192052980133,11.216581980999763
bert,1000,44,bert_train1000_seed44,artifacts/bert_train1000_seed44,0.6642335766423357,0.660939010976421,0.6642273523410899,0.5969725638599811,11.826556521000384
bert,1000,45,bert_train1000_seed45,artifacts/bert_train1000_seed45,0.6405135520684736,0.6383998300468113,0.6356965871232038,0.6121097445600757,11.512050789999194
bert,1000,46,bert_train1000_seed46,artifacts/bert_train1000_seed46,0.6610398379473329,0.6577221381551511,0.659230064387913,0.6291390728476821,11.130027739998695
bert,2000,42,bert_train2000_seed42,artifacts/bert_train2000_seed42,0.6854304635761589,0.6769744003055178,0.6859047684777657,0.6537369914853358,21.99906603400086
bert,2000,43,bert_train2000_seed43,artifacts/bert_train2000_seed43,0.6768947529917152,0.6754176602598099,0.6772278311913682,0.6130558183538316,21.853282162999676
bert,2000,44,bert_train2000_seed44,artifacts/bert_train2000_seed44,0.7009063444108762,0.6944512713983861,0.6996919042009643,0.6584673604541155,22.117123632000585
bert,2000,45,bert_train2000_seed45,artifacts/bert_train2000_seed45,0.6778989098116948,0.6738746489482338,0.6772277029776073,0.6442762535477767,21.832740975998604
bert,2000,46,bert_train2000_seed46,artifacts/bert_train2000_seed46,0.6936050597329585,0.690246922866272,0.6914391171596092,0.6792809839167455,22.224632449000637
bert,4000,42,bert_train4000_seed42,artifacts/bert_train4000_seed42,0.714240203886588,0.703320835112371,0.7123550491285022,0.6641438032166509,44.17543661699892
bert,4000,43,bert_train4000_seed43,artifacts/bert_train4000_seed43,0.7200516628995802,0.7066531063435247,0.7197224145376532,0.6726584673604541,44.548187420999966
bert,4000,44,bert_train4000_seed44,artifacts/bert_train4000_seed44,0.7181185823120239,0.707897719933058,0.7168027362731834,0.6754966887417219,45.574028626000654
bert,4000,45,bert_train4000_seed45,artifacts/bert_train4000_seed45,0.7142411966344656,0.7031483727362656,0.7130175259539419,0.651844843897824,44.0530992669992
bert,4000,46,bert_train4000_seed46,artifacts/bert_train4000_seed46,0.7182061579651942,0.7081260580117151,0.7174765704854839,0.6877956480605487,44.56868252700042
tfidf,1000,42,tfidf_train1000_seed42,artifacts/tfidf_train1000_seed42,0.5903718650908043,0.5902990543080987,0.6054309782105723,0.4370860927152318,1.803222538
tfidf,1000,43,tfidf_train1000_seed43,artifacts/tfidf_train1000_seed43,0.622568093385214,0.6186701975759421,0.6269944854763602,0.4739829706717124,1.71672890800005
tfidf,1000,44,tfidf_train1000_seed44,artifacts/tfidf_train1000_seed44,0.6165501165501166,0.6156239833524817,0.6195663610511095,0.44654683065279094,1.7074838399998953
tfidf,1000,45,tfidf_train1000_seed45,artifacts/tfidf_train1000_seed45,0.6034736532234325,0.6026669488119676,0.6141024152637227,0.46263008514664145,1.7979539740001655
tfidf,1000,46,tfidf_train1000_seed46,artifacts/tfidf_train1000_seed46,0.6028430519292138,0.5994986053219544,0.6093182509605767,0.47587511825922424,1.8503114459999779
tfidf,2000,42,tfidf_train2000_seed42,artifacts/tfidf_train2000_seed42,0.6767574840228725,0.6713519237691007,0.6777576782619574,0.575212866603595,3.1218120880000697
tfidf,2000,43,tfidf_train2000_seed43,artifacts/tfidf_train2000_seed43,0.681849082256968,0.6727019287857225,0.6820163402040369,0.5846736045411542,2.866376892000062
tfidf,2000,44,tfidf_train2000_seed44,artifacts/tfidf_train2000_seed44,0.6668863261943987,0.6601030068641424,0.6694867229412473,0.5477767265846736,2.7842175679998036
tfidf,2000,45,tfidf_train2000_seed45,artifacts/tfidf_train2000_seed45,0.6875,0.6854463001790227,0.6871255498288747,0.5666982024597919,2.688574594000329
tfidf,2000,46,tfidf_train2000_seed46,artifacts/tfidf_train2000_seed46,0.659672131147541,0.6555079460671682,0.6651391520804355,0.5345316934720908,2.8195550220002588
tfidf,4000,42,tfidf_train4000_seed42,artifacts/tfidf_train4000_seed42,0.7005612413337735,0.6998990286862549,0.7008276694904837,0.5789971617786187,4.897304302000066
tfidf,4000,43,tfidf_train4000_seed43,artifacts/tfidf_train4000_seed43,0.700278164116829,0.7004390819420317,0.6996453628037648,0.5912961210974456,4.958226912999635
tfidf,4000,44,tfidf_train4000_seed44,artifacts/tfidf_train4000_seed44,0.6963013233797082,0.6881897403250877,0.6971220191159452,0.5884578997161779,5.195871995999823
tfidf,4000,45,tfidf_train4000_seed45,artifacts/tfidf_train4000_seed45,0.7084846483988115,0.7079095836327164,0.7084329552856093,0.5837275307473982,4.892540163999911
tfidf,4000,46,tfidf_train4000_seed46,artifacts/tfidf_train4000_seed46,0.6951429555632105,0.688998911055503,0.6962401416850601,0.586565752128666,4.971058090000042
